strain,previous_names,caendr_release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes
MY518,"",20170531,MY,51.964154,7.611719,Botanical_garden_or_zoo,North Rhine-Westphalia,Compost,compost  heap,,,,"",C. Petersen,C. Petersen,2011-07-08,""
MY679,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2011-09-27,""
MY772,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2011-09-27,""
MY795,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2011-10-26,""
MY920,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2012-01-18,""
N2,N2_HRH|N2_HRH|N2,20160408,MT,51.45,-2.59,Urban_garden,England,Compost,mushroom compost,,,,"",W. Nicholas,W. Nicholas,1951-01-01,Maintained by E.C. Dougherty in axenic media until sent to S. Brenner in 1964. Frozen in 1969.
NIC1,"",20160408,NIC,43.279,5.3543,"",Provence-Alpes-Cote d Azur,Rotting_nut/pod/seed/fruit,rotting fruit,,,,"",C. Braendle,C. Braendle,2008-09-14,""
NIC1049,4,20170531,NIC,43.593561,1.45032,Botanical_garden_or_zoo,Occitanie,Compost,Compost fresh,,,,"",C. Braendle,C. Braendle,2014-10-14,""
NIC166,"",20160408,NIC,46.72722,6.89775,Rural_garden,Vaud,Rotting_nut/pod/seed/fruit,immature prunes,,,,"",C. Braendle,C. Braendle,2007-07-27,""
NIC1779,541b,20200815,NIC,28.53339,-16.279711,Forest,"Anaga mountains, Cruz del Carmen, Laurelforest",Arthropod,"Pill bugs, snails, litter",,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-13,""
NIC1783,6.1,20200815,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Rotting_nut/pod/seed/fruit,"Small dry fruits, litter and humus",,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1786,8.1,20200815,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Vegetal_litter/mix,Large plant leaf and litter,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1791,14.1,20210121,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Rotting_flower,Pink flowers,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1794,18.2,20200815,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Rotting_nut/pod/seed/fruit,"Woody fruits (old), """"false olive""""",,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1798,21.2,20200815,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Rotting_nut/pod/seed/fruit,Woody fruits and litter,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1799,22.1c,20200815,NIC,28.411121,-16.535468,Botanical_garden_or_zoo,"Botanical garden, Puerto de la Cruz",Rotting_stem,"Old plant stem material, banana?",,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-14,""
NIC1808,49b,20200815,NIC,28.498323,-16.399275,Rural_garden,"Rural garden, Tacoronte",Rotting_nut/pod/seed/fruit,Goyave fruits,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-16,""
NIC1809,52.2,20200815,NIC,28.498323,-16.399275,Rural_garden,"Rural garden, Tacoronte",Rotting_nut/pod/seed/fruit,Nispero fruits,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-17,""
NIC1810,53,20200815,NIC,28.498323,-16.399275,Rural_garden,"Rural garden, Tacoronte",Rotting_nut/pod/seed/fruit,Palm fruits and litter,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-17,""
NIC1811,54b,20200815,NIC,28.498323,-16.399275,Rural_garden,"Rural garden, Tacoronte",Vegetal_litter/mix,Litter and humus,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-17,""
NIC1812,555b,20200815,NIC,28.482217,-16.412193,Botanical_garden_or_zoo,"Park, Tacoronte",Vegetal_litter/mix,Litter in bark of palm tree,,,,"",C. Braendle,"C. Gimond, C. Ferrari, C. Braendle",2019-03-17,""
NIC2,"",20160408,NIC,43.279,5.3543,Urban_garden,Provence-Alpes-Cote d Azur,Rotting_stem,rotting plant,,,,"",C. Braendle,C. Braendle,2008-09-14,""
NIC207,"",20160408,NIC,43.720505,7.24045,Rural_garden,Provence-Alpes-Cote d Azur,Rotting_nut/pod/seed/fruit,rotting oranges,,,,"",C. Braendle,C. Braendle,2011-09-21,""
NIC236,"",20160408,NIC,39.242006,-9.313417,Rural_garden,Lisboa,Rotting_nut/pod/seed/fruit,rotting fruit,,,,"",C. Braendle,C. Braendle,2011-11-26,""
NIC252,"",20160408,NIC,38.661313,-28.147949,Rural_garden,Azores,Rotting_nut/pod/seed/fruit,Rotting fruit (?) from Camelia.,,,,"",S. Carvalho,S. Carvalho,2012-08-01,"Isolated in the Azores, on the island of São Jorge"
NIC255,"",20160408,NIC,43.714834,7.266779,Urban_garden,Provence-Alpes-Cote d Azur,Rotting_nut/pod/seed/fruit,isolated from a rotting orange trap (trap set date: 10.27.2012),,,,"",C. Braendle,C. Braendle,2012-11-18,Isolated in Parc de Valrose
NIC256,"",20160408,NIC,38.71829,-9.14875,Botanical_garden_or_zoo,Lisbon Metropolitan Area,Rotting_nut/pod/seed/fruit,fruits palm tree (olive size),,,,"",C. Braendle,C. Braendle,2012-12-02,""
NIC258,"",20160408,NIC,38.71829,-9.14875,Botanical_garden_or_zoo,Lisbon Metropolitan Area,Rotting_nut/pod/seed/fruit,fruits palm tree (large),,,,"",C. Braendle,C. Braendle,2012-12-02,""
NIC259,"",20160408,NIC,38.71829,-9.14875,Botanical_garden_or_zoo,Lisbon Metropolitan Area,Rotting_nut/pod/seed/fruit,"fruits, Opuntia-like plant",,,,"",C. Braendle,C. Braendle,2012-12-02,""
NIC262,"",20160408,NIC,38.71829,-9.14875,Botanical_garden_or_zoo,Lisbon Metropolitan Area,Rotting_flower,Strelitzia flower (inside),,,,"",C. Braendle,C. Braendle,2012-12-02,""
NIC267,"",20160408,NIC,38.69237,-9.31592,Urban_garden,Lisbon Metropolitan Area,Rotting_nut/pod/seed/fruit,Orange fruits,,,,"",C. Braendle,C. Braendle,2012-12-07,Isolated in Jardim do Palacio do Marques de Pombal
NIC272,"",20160408,NIC,39.769459,-8.756356,Rural_garden,Leiria District,Rotting_nut/pod/seed/fruit,"litter, walnuts, isopods",,,,"",C. Braendle,C. Braendle,2012-12-09,Isolated in a garden near an old farmhouse
NIC275,"",20160408,NIC,39.769459,-8.756356,Rural_garden,Leiria District,Rotting_nut/pod/seed/fruit,"chestnuts, husks",,,,"",C. Braendle,C. Braendle,2012-12-09,Isolated in a garden near an old farmhouse
NIC277,"",20160408,NIC,43.716441,7.266138,Urban_garden,Provence-Alpes-Cote d Azur,Rotting_nut/pod/seed/fruit,rotting orange,,,,"",C. Braendle,C. Braendle,2012-12-15,Isolated in Parc de Valrose
NIC3,"",20160408,NIC,43.3636,5.3215,"",Provence-Alpes-Cote d Azur,Rotting_nut/pod/seed/fruit,rotting figs,,,,"",C. Braendle,C. Braendle,2008-09-28,""
NIC514,2.1a/LIS3,20170531,NIC,38.776038,-9.167136,Botanical_garden_or_zoo,Lisbon,Rotting_nut/pod/seed/fruit,Olives,,,,"",C. Braendle,C. Braendle,2013-11-30,""
NIC526,ESP8/1.2a,20170531,NIC,36.535679,-6.304441,Botanical_garden_or_zoo,Andalusia,Rotting_nut/pod/seed/fruit,"Fruit shells, woody",,,,"",C. Braendle,C. Braendle,2014-04-01,""
NIC528,ESP10/5a,20170531,NIC,36.535679,-6.29831,Botanical_garden_or_zoo,Andalusia,Rotting_nut/pod/seed/fruit,Orange,,,,"",C. Braendle,C. Braendle,2014-04-01,""
NIC529,ESP11/8.2c,20170531,NIC,37.870754,-4.784967,Botanical_garden_or_zoo,Andalusia,Rotting_nut/pod/seed/fruit,"Olives, litter, humus",,,,"",C. Braendle,C. Braendle,2014-05-01,""
PB303,"",20160408,CGC,,,"","",Arthropod,"live arthropod, Porcellio scaber",,,,"",S. Baird,S. Baird,1998-11-14,Porcellio scaber obtained from Ward's Biological Supply
PX179,"",20160408,CGC,44.035,-123.058,Urban_garden,Oregon,Arthropod,"live arthropod found in damp, organic soil under a rock in a rhododendron garden",,,,"",B. White,B. White,2001-10-02,"Isolated in northwest Hendricks Park, northwest rhododendron garden, Eugene, OR."
QG2811,"",20180413,QG,-35.2542,149.1151,Urban_garden,Australian Capital Territory,Rotting_nut/pod/seed/fruit,figs,,,,"",M. Rockman,M. Rockman,2017-04-02,"Isolated from rotting figs collected March 22, 2017, from Dave Rowell's backyard, Nardoo Crescent, Canberra, ACT, Australia. Derived from single hermaphrodite picked from worms recovered from Baermann Funnel, April 2. Same fig sample as QG2810. From google earth: 35°15'14.95"""" S, 149°06'54.27"""" E."
QG2818,"",20180413,QG,-28.0474,152.3936,Forest,Queensland,Rotting_nut/pod/seed/fruit,figs,,,,"",M. Rockman,M. Rockman,2017-04-12,"Androdioecious Caenorhabditis isolated from rotting figs collected 4/9/17 along the Mt. Cordeaux trail, Main Range National Park, QLD, Australia. Garmin gps (mark118) 28°02.843'S 152°23.618'E. Baermann funnel yielded enormous numbers of worms 4/12. 10 L4s to a plate; only one was a hermaphrodite, which I picked to found this line. from GPS 118, 4/10/17."
QG2824,"",20180413,QG,-34.4511,116.033,Urban_garden,Western Australia,Rotting_nut/pod/seed/fruit,olives,,,,"",M. Rockman,M. Rockman,2017-05-23,"Androdioecious Caenorhabditis isolated from rotting olives collected 5/17/17 from the garden in front of Holy Smoke, Pemberton, Western Australia. Olives plated 5/22/17; teeming with hermaphrodite Caenorhabditis. One young adult singled 5/23/17. Same bag of olives as QG2823. 34°27'04.00"""" S 116°01'58.68"""" E, from Google Earth."
QG2827,"",20180413,QG,-31.9547,115.8446,Botanical_garden_or_zoo,Western Australia,Vegetal_litter/mix,fig tree litter,,,,"",M. Rockman,M. Rockman,2017-05-24,"Androdioecious Caenorhabditis isolated from a ziplock of soil, figs, nuts, and litter collected under the sprawling fig tree at the entrance to Kings Park, Perth, Western Australia, 5/20/2017. Baermann funnel plated 5/24/17, yielding thousands of worms, including huge numbers of male and hermaphrodite Caenorhabditis. This plate was founded by one adult hermaphrodite singled 5/24. Its progeny were all hermaphrodites. Same funnel as QG2828 and QG2829. 31°57'17"""" S 115°50'40.5"""" E by Google Earth."
QG2828,"",20180413,QG,-31.9547,115.8446,Botanical_garden_or_zoo,Western Australia,Vegetal_litter/mix,fig tree litter,,,,"",M. Rockman,M. Rockman,2017-05-24,"Androdioecious Caenorhabditis isolated from a ziplock of soil, figs, nuts, and litter collected under the sprawling fig tree at the entrance to Kings Park, Perth, Western Australia, 5/20/2017. Baermann funnel plated 5/24/17, yielding thousands of worms, including huge numbers of male and hermaphrodite Caenorhabditis. This plate was founded by one adult hermaphrodite and one adult male 5/24. Singled herm progeny showed that the isolate is androdioecious. Same funnel as QG2827 and QG2829. 31°57'17"""" S 115°50'40.5"""" E by Google Earth."
QG2832,"",20180413,QG,-27.3311,152.7636,Forest,Queensland,Fungus,mushroom,,,,"",M. Rockman,M. Rockman,2017-05-30,"Androdioecious Caenorhabditis isolated from mushroom rot (photographed) along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/30/17; few worms, mostly not Caeno. This line was founded by one YA hermaphrodite, 5/30/17. Same funnel as QG2833. Very approx 27°19'52""""S, 152°45'49""""E, by Google Earth."
QG2835,"",20180413,QG,-27.3308,152.7592,Forest,Queensland,Rotting_nut/pod/seed/fruit,berries,,,,"",M. Rockman,M. Rockman,2017-05-30,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2836-7. Baermann funnel plated 5/30; lots of Caeno hermaphrodites. This line was founded by one L4 singled 5/30/17. Same funnel as QG2834. Very approx 27°19'51""""S 152°45'33""""E by Google Earth."
QG2837,"",20180413,QG,-27.3308,152.7592,Forest,Queensland,Rotting_nut/pod/seed/fruit,berries,,,,"",M. Rockman,M. Rockman,2017-06-02,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2834-5. Baermann funnel plated 5/30. This line was founded by one L4 singled 6/2/17. Same funnel as QG2836. Very approx 27°19'51""""S 152°45'33""""E by Google Earth."
QG2841,"",20180413,QG,-28.2446,153.2063,Forest,Queensland,Rotting_nut/pod/seed/fruit,figs,,,,"",M. Rockman,M. Rockman,2017-06-06,"Androdioecious Caenorhabditis isolated from sample of litter and small figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; diverse worms, lots of Caeno hermaphrodite adults and larvae. One young adult picked 6/6 to found this line. Another founded QG2842. By garmin GPS, 28°14.648' S, 153°12.375' E."
QG2854,"",20180413,QG,-28.0806,152.5046,Forest,Queensland,Rotting_nut/pod/seed/fruit,palm nuts,,,,"",M. Rockman,M. Rockman,2017-06-22,"Androdioecious Caenorhabditis isolated from a sample of piccabeen palm nuts, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22. This line founded by one L3, 6/22. Same sample (150) as QG2855. Garmin GPS 28°04.833'S, 152°30.273'E."
QG2855,"",20180413,QG,-28.0806,152.5046,Forest,Queensland,Rotting_nut/pod/seed/fruit,palm nuts,,,,"",M. Rockman,M. Rockman,2017-06-22,"Androdioecious Caenorhabditis isolated from a sample of piccabeen palm nuts, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22. This line founded by one L3, 6/22. Same sample (150) as QG2854. Garmin GPS 28°04.833'S, 152°30.273'E."
QG2873,"",20180413,QG,-27.369,152.1831,Forest,Queensland,Rotting_nut/pod/seed/fruit,palm nuts,,,,"",M. Rockman,M. Rockman,2017-06-26,"Androdioecious strain isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/26. One young adult founded this line, 6/26. Same sample (159) as QG2872. Garmin GPS 27°22.141 S, 152°10.987' E. These worms are a bit strange looking; possibly sick from plate contaminants."
QG2874,"",20180413,QG,-27.3686,152.1838,Forest,Queensland,Rotting_nut/pod/seed/fruit,palm nuts,,,,"",M. Rockman,M. Rockman,2017-06-28,"Androdioecious Caenorhabditis isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/26. One :4 founded this line, 6/28. This sample (160) had few worms and this was the only one that looked like Caenorhabditis. The adults are somewhat short. Garmin GPS 27°22.115 S, 152°11.027' E."
QG4003,S-5162.1,20210121,QG,-26.8747266,151.5804217,Forest,Bunya Mtns,Rotting_nut/pod/seed/fruit,"",21.8,,,"",E. Andersen,C. Buchanan,2020-02-27,Fulcrum collection 2020FebruaryAustralia
QG4008,S-5177.5,20210121,QG,-26.87343889,151.5806861,Forest,Bunya Mtns,Rotting_flower,"",21.7,,,"",M. Rockman,C. Buchanan,2020-02-27,Fulcrum collection 2020FebruaryAustralia
QG4017,S-5186.3,20210121,QG,-27.92394722,153.1936333,Forest,Tamborine,Rotting_nut/pod/seed/fruit,"",22.6,,,"",M. Rockman,C. Buchanan,2020-02-28,Fulcrum collection 2020FebruaryAustralia
QG4018,S-5186.4,20210121,QG,-27.92394722,153.1936333,Forest,Tamborine,Rotting_nut/pod/seed/fruit,"",22.6,,,"",M. Rockman,C. Buchanan,2020-02-28,Fulcrum collection 2020FebruaryAustralia
QG4080,S-5363.6,20210121,QG,-24.4133847,151.0393459,Forest,Kroombit Tops,Rotting_nut/pod/seed/fruit,"",22,,,"",E. Andersen,C. Buchanan,2020-02-25,Fulcrum collection 2020FebruaryAustralia
QG4135,S-5441.2,20210121,QG,-27.9237322,153.1943154,Forest,Tamborine,Vegetal_litter/mix,"",22.6,,,"",E. Andersen,C. Buchanan,2020-02-28,Fulcrum collection 2020FebruaryAustralia
QG4138,S-5442.3,20210121,QG,-27.9245815,153.1934664,Forest,Tamborine,Rotting_nut/pod/seed/fruit,"",22.5,,,"",E. Andersen,C. Buchanan,2020-02-28,Fulcrum collection 2020FebruaryAustralia
QG4228,S-5468.1a,20210121,QG,-28.2134562,153.2721083,Forest,Springbrook,Rotting_nut/pod/seed/fruit,"",21.3,,,"",E. Andersen,C. Buchanan,2020-02-28,Fulcrum collection 2020FebruaryAustralia
QW947,"",20160408,QW,-33.4213,-70.6106,Urban_garden,Santiago Metropolitan Region,Compost,"compost heap with moist rotting grass (urban park) at Univerisdad Mayor, Camino la Piramide",,,,"",M. Alkema,M. Alkema,2013-04-12,""
RC301,"",20160408,CGC,47.99,7.84,Urban_garden,Baden-Wurttemberg,Compost,compost heap,,,,"",R. Cassada,R. Cassada,1983-01-01,Reference WBG 9(3) 29 and 10(2) 140-141. npr-1 pka bor-1
TWN2530,"",20200815,TWN,24.086944,121.175722,Urban_garden,"",Soil,orchard,15,15,,Nematode-trapping fungi,Y.-P. Hsueh,Y.-P. Hsueh,2018-09-05,National Taiwan University Highland Experimental Farm
WN2001,"",20160408,WN,51.954422,6.303406,"",Gelderland,Compost,snail from organic waste bin,,,,"",J. Riksen,"",2008-06-26,""
WN2050,"",20170531,WN,51.975,5.717,Rural_garden,Gelderland,Rotting_stem,hogweed-1,,,,"",J. Riksen,J. Riksen,2014-11-11,""
WN2064,MHvW3-2-1,20180413,WN,51.974703,5.68639,Rural_garden,Gelderland,Compost,Rotten walnut from a compost heap,,,,"",M. van Wijk,M. Sterken,2016-10-11,""
WN2066,Yuqing5-1-1,20180413,WN,51.975306,5.694904,Rural_garden,Gelderland,Arthropod,Isopods sampled in a garden,,,,"",Y. Huang,Y. Huang,2016-10-11,""
WN2069,"",20200815,WN,51.975196,5.718727,Urban_garden,Gelderland,Vegetal_litter/mix,Rotting butterbur leaf,,,,"",M. Sterken,M. Sterken,2017-11-01,Beekdal
WN2082,LvS7-4,20210121,WN,51.975196,5.718727,Grassland,Beekdal,Rotting_stem,Rotten butterbur (Petasites hybridus) stem,,,,"",L. van Sluijs,L. van Sluijs,2019-10-07,Sampling_2019_Results.pdf
WN2086,MGS1-15,20210121,WN,51.975196,5.718727,Grassland,Beekdal,Rotting_stem,butterbur (Petasites hybridus); stem,,,,"",M. Sterken,"M. Sterken, L. van Sluijs",2019-10-07,Sampling_2019_Results.pdf
XZ1516,"",20170531,XZ,22.149,-159.668,"",Hawaii,Rotting_nut/pod/seed/fruit,rotten small berries,,,,"",M. Ailion,M. Ailion,2014-10-15,""
XZ1672,"",20180413,XZ,47.687741,-122.300513,Urban_garden,Washington,Rotting_nut/pod/seed/fruit,tomatoes,,,,"",B. Coleman,M. Ailion,2015-08-01,"from rotten tomatoes from Picardo Farm P-patch community garden on 82nd and Ravenna Ave NE, Seattle"
XZ1735,"",20180413,XZ,-22.9,-46.7,Urban_garden,State of Sao Paulo,Rotting_nut/pod/seed/fruit,unidentified fruit,,,,"",M. Ailion,M. Ailion,2015-11-07,Another fruit from the same tree had C. briggsae
XZ2018,"",20180413,XZ,,,Urban_garden,"","","",,,,"",M. Ailion,M. Ailion,2016-10-01,""
